Listenavn,Stemmetal,Instagram Tag,Follower Count,Number of Posts,missing_followers,missing_posts,Posts per Follower,Followers per Post
Alternativet,6608,alternativet_,25700.0,1975.0,False,False,0.07684824902723736,13.012658227848101
Bitten Vivi Jensen,22,bittenvivi,692.0,66.0,False,False,0.0953757225433526,10.484848484848484
Borgernes Frederiksberg,17,borgernesfrederiksberg,25.0,30.0,False,False,1.2,0.8333333333333334
DKP - Kommunisterne,174,,,,True,True,,
Danmarksdemokraterne - Inger Støjberg,1333,partietdanmarksdemokraterne,10800.0,655.0,False,False,0.060648148148148145,16.48854961832061
Dansk Folkeparti,7498,dansk_folkeparti_1995,26200.0,1566.0,False,False,0.059770992366412215,16.73052362707535
Demokraterne - hele Danmark skal leve,127,demokraterne.nu,13.0,6.0,False,False,0.46153846153846156,2.1666666666666665
Det Konservative Folkeparti,24020,konservativedk,18600.0,1723.0,False,False,0.09263440860215054,10.795124782356355
Din stemme i København,48,,,,True,True,,
Enhedslisten - De Rød-Grønne,41875,enhedslisten,45600.0,2558.0,False,False,0.05609649122807017,17.82642689601251
Frie Grønne,1264,friegronne,8182.0,1297.0,False,False,0.15851869958445367,6.30840400925212
Fælles Fremtid,43,faelles.fremtid,154.0,56.0,False,False,0.36363636363636365,2.75
Ham Stokken,20,hamstokken,21.0,17.0,False,False,0.8095238095238095,1.2352941176470589
Hampepartiet,249,,,,True,True,,
Hvid-sten Frederiksbergs uafhængige Borgerliste,13,,,,True,True,,
KaosTV,50,,,,True,True,,
Kommunistisk Parti,408,kommunister,303.0,108.0,False,False,0.3564356435643564,2.8055555555555554
Kristendemokraterne,300,kd.kristendemokraterne,223.0,128.0,False,False,0.5739910313901345,1.7421875
Liberal Alliance,11389,liberalalliance,48900.0,1953.0,False,False,0.039938650306748466,25.038402457757297
Lokallisten - København,131,,,,True,True,,
Moderaterne,2485,moderaterne,8468.0,657.0,False,False,0.07758620689655173,12.88888888888889
Nye Borgerlige,117,nyeborgerlige,8759.0,86.0,False,False,0.009818472428359402,101.84883720930233
Radikale Venstre,17296,radikale,15600.0,2298.0,False,False,0.1473076923076923,6.788511749347259
SF - Socialistisk Folkeparti,28001,sf_socialistisk_folkeparti,20800.0,1783.0,False,False,0.08572115384615385,11.665731912507011
Skamløse Demokrater,293,,,,True,True,,
Socialdemokratiet,18630,socialdemokratiet,52100.0,2171.0,False,False,0.04166986564299424,23.998157531091664
Solidarisk Integritet,28,solidariskintegritet/,,,True,True,,
"Venstre, Danmarks Liberale Parti",9516,venstredk,14600.0,2392.0,False,False,0.16383561643835617,6.103678929765886
