Bogstavbetegnelse_x,Listenavn,Navn,Stemmetal,Bogstavbetegnelse_y,Rank,Instagram Tag,Follower Count,Number of Posts,missing_followers,missing_posts,municipality
A,Socialdemokratiet,Andreas Keil,960,A,2.0,brandmandkeil,832.0,32.0,False,False,Copenhagen
A,Socialdemokratiet,Asbjørn Reissmann,375,A,24.0,asbjornreissmann,431.0,27.0,False,False,Copenhagen
A,Socialdemokratiet,Christoffer Rosenkrands,130,A,21.0,rosenkrandschristoffer,133.0,2.0,False,False,Copenhagen
A,Socialdemokratiet,Edith Chenga Chamwi,189,A,19.0,edithchamwi,142.0,0.0,False,False,Copenhagen
A,Socialdemokratiet,Emery Karatasi,87,A,23.0,emmerk84,491.0,61.0,False,False,Copenhagen
A,Socialdemokratiet,Emilla Møller,458,A,13.0,emillamoller,1137.0,443.0,False,False,Copenhagen
A,Socialdemokratiet,Gitte Kristensen,79,A,17.0,gitte.sund.ku,281.0,9.0,False,False,Copenhagen
A,Socialdemokratiet,Hari Neupane,501,A,25.0,harineupane007,347.0,29.0,False,False,Copenhagen
A,Socialdemokratiet,Helle Stolberg,533,A,7.0,socialdemokraten.fra.valby,480.0,158.0,False,False,Copenhagen
A,Socialdemokratiet,Jakob Hougaard,445,A,4.0,jakekbh,679.0,73.0,False,False,Copenhagen
A,Socialdemokratiet,Jakob Thiemann,153,A,12.0,jakobthiemann,535.0,268.0,False,False,Copenhagen
A,Socialdemokratiet,Jens Fisker Carlsbæk,132,A,16.0,jenscarlsbaek,415.0,107.0,False,False,Copenhagen
A,Socialdemokratiet,Jonas Manthey Olsen,545,A,14.0,jonasmantheyolsen,1265.0,219.0,False,False,Copenhagen
A,Socialdemokratiet,Kasper Stisen,976,A,20.0,kasperstisen,1372.0,212.0,False,False,Copenhagen
A,Socialdemokratiet,Kim Christensen,52,A,27.0,-,,,True,True,Copenhagen
A,Socialdemokratiet,Lars Aslan Rasmussen,4656,A,10.0,lars_aslan,1123.0,256.0,False,False,Copenhagen
A,Socialdemokratiet,Laura Rosenvinge,1349,A,3.0,laurarosenvinge,1660.0,459.0,False,False,Copenhagen
A,Socialdemokratiet,Lauritz Ziethen,108,A,22.0,lauritzziethen,239.0,23.0,False,False,Copenhagen
A,Socialdemokratiet,Line Kjær Christensen,134,A,29.0,linekjaerc,292.0,22.0,False,False,Copenhagen
A,Socialdemokratiet,Mads S. B. Pedersen,331,A,26.0,madssbpedersen,463.0,636.0,False,False,Copenhagen
A,Socialdemokratiet,Maria Gudme,257,A,15.0,mariagudme,1666.0,922.0,False,False,Copenhagen
A,Socialdemokratiet,Maria Kornbek,444,A,5.0,mariakornbek,131.0,107.0,False,False,Copenhagen
A,Socialdemokratiet,Mathias Niebuhr,306,A,6.0,mkniebuhr,2382.0,324.0,False,False,Copenhagen
A,Socialdemokratiet,Mette Reissmann,1170,A,11.0,mette.reissmann,2416.0,1272.0,False,False,Copenhagen
A,Socialdemokratiet,Niels E. Bjerrum,587,A,8.0,nielse.bjerrum,373.0,999.0,False,False,Copenhagen
A,Socialdemokratiet,Pernille Rosenkrantz-Theil,11808,A,1.0,pernillerosenkrantztheil,12400.0,1154.0,False,False,Copenhagen
A,Socialdemokratiet,Rasmus Toftholm,125,A,28.0,rasmus_toftholm,63.0,1.0,False,False,Copenhagen
A,Socialdemokratiet,Stig Ekman,107,A,18.0,stig.ekman,233.0,38.0,False,False,Copenhagen
A,Socialdemokratiet,Ulla Krag,789,A,30.0,ulla_krag,700.0,352.0,False,False,Copenhagen
A,Socialdemokratiet,Yildiz Akdogan,959,A,9.0,yildiz_akdogan,2704.0,1706.0,False,False,Copenhagen
B,Radikale Venstre,Alina Protsyk,281,B,11.0,alinaprotsyk,616.0,250.0,False,False,Copenhagen
B,Radikale Venstre,Allan Nyhus,244,B,15.0,allannyhus,314.0,170.0,False,False,Copenhagen
B,Radikale Venstre,Christopher Røhl,6119,B,1.0,rohlchristopher,1765.0,1365.0,False,False,Copenhagen
B,Radikale Venstre,Dan Kreutzfeldt,232,B,7.0,dankreutzfeldt,703.0,853.0,False,False,Copenhagen
B,Radikale Venstre,Emil Moselund,1493,B,5.0,emilmoselund,960.0,161.0,False,False,Copenhagen
B,Radikale Venstre,Frederikke Alban,584,B,8.0,frederikke_alban,169.0,43.0,False,False,Copenhagen
B,Radikale Venstre,Jakob Skyggebjerg,2573,B,3.0,jakobskygge,2073.0,43.0,False,False,Copenhagen
B,Radikale Venstre,Kashif Ahmad,1554,B,6.0,kashifahmaddk,6894.0,1042.0,False,False,Copenhagen
B,Radikale Venstre,Kim Mandix,460,B,9.0,kim.mandix,304.0,409.0,False,False,Copenhagen
B,Radikale Venstre,Kristina Westerberg Thomsen,1270,B,16.0,kristinawthomsen,445.0,37.0,False,False,Copenhagen
B,Radikale Venstre,Kristine Ammitzbøll-Bille,3780,B,2.0,ammitzboellbille,887.0,121.0,False,False,Copenhagen
B,Radikale Venstre,Lartey Lawson,228,B,13.0,larteylawsondk,990.0,103.0,False,False,Copenhagen
B,Radikale Venstre,Martin Schepelern,441,B,12.0,martinschepelern,156.0,37.0,False,False,Copenhagen
B,Radikale Venstre,Sara Julie Sørensen,659,B,14.0,sarajsorensen,708.0,18.0,False,False,Copenhagen
B,Radikale Venstre,Susanne Wad Leth,516,B,10.0,susanne.wad.leth,52.0,1.0,False,False,Copenhagen
B,Radikale Venstre,Thomas Markmann,746,B,4.0,markmann.thomas,763.0,155.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Anders Løve Kyhl,192,C,11.0,anders_loeve_kyhl_konservative,120.0,14.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Andreas Petersen,193,C,10.0,andreas.petersen.kandidat2025,87.0,21.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Casper Øhlers,1392,C,9.0,casperohlers,2805.0,167.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Cecilie Iwang,203,C,29.0,cecilie_iwang,995.0,58.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Chris Hvid Hansen,53,C,27.0,chrishvidhansen,178.0,7.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Christian Hesselberg,31,C,22.0,-,,,True,True,Copenhagen
C,Det Konservative Folkeparti,Dagmar Damm,224,C,15.0,-,,,True,True,Copenhagen
C,Det Konservative Folkeparti,Dan Pedersen,94,C,18.0,-,,,True,True,Copenhagen
C,Det Konservative Folkeparti,David Grolin Kristensen,82,C,12.0,-,,,True,True,Copenhagen
C,Det Konservative Folkeparti,Helene Fagerhøj,434,C,19.0,helene_fagerhoj,1945.0,126.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Helle Bonnesen,2557,C,7.0,hellebonnesen,989.0,731.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Henning Schøneberg Kastbjerg,35,C,23.0,-,,,True,True,Copenhagen
C,Det Konservative Folkeparti,Ida Busk,218,C,17.0,buzg,282.0,474.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Jakob Næsager,10944,C,1.0,borgmesterjakobnaesager,768.0,58.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Jens Wedenborg,368,C,13.0,wedenborg,296.0,149.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Kirsten Bjerregaard Kristiansen,131,C,24.0,-,,,True,True,Copenhagen
C,Det Konservative Folkeparti,Lasse Vogel Andersen,59,C,16.0,-,,,True,True,Copenhagen
C,Det Konservative Folkeparti,Line Ervolder,1228,C,5.0,lineervolder,749.0,120.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Mathilde Kastbjerg,1281,C,2.0,mathildekastbjerg.kbh,573.0,45.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Morten Melchiors,793,C,3.0,morten_melchiors_kbh,151.0,360.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Niels Peder Ravn,686,C,4.0,niels_peder_ravn,650.0,776.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Nikolai Ellegaard Sørensen,86,C,28.0,nikolai_ellegaard,165.0,0.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Ole Normann Buch,313,C,8.0,ole_buch,360.0,82.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Peter Bisgaard,94,C,20.0,-,,,True,True,Copenhagen
C,Det Konservative Folkeparti,Pia Kolind Nielsen,229,C,21.0,pipsydk,66.0,2.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Rasmus Bjergegaard,504,C,14.0,rasmusbjergegaard,49.0,4.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Sigurd Hebo Lønholdt,196,C,6.0,sofieheboloenholdt,388.0,48.0,False,False,Copenhagen
C,Det Konservative Folkeparti,Susanne Møller,130,C,30.0,-,,,True,True,Copenhagen
C,Det Konservative Folkeparti,Thor Lykke Sørensen,129,C,25.0,-,,,True,True,Copenhagen
C,Det Konservative Folkeparti,Tim Hvolgaard,82,C,26.0,-,,,True,True,Copenhagen
D,Nye Borgerlige,Anahita Malakians,145,D,1.0,anahitamalakians,1589.0,375.0,False,False,Copenhagen
E,KaosTV,Karl Villemoes,55,E,1.0,karl_villemoes,31.0,0.0,False,False,Copenhagen
F,SF - Socialistisk Folkeparti,Astrid Aller,3671,F,2.0,astridaller_sf,1708.0,302.0,False,False,Copenhagen
