Listenavn,Stemmetal,Instagram Tag,Follower Count,Number of Posts,missing_followers,missing_posts
Alternativet,6608,alternativet_,25700.0,1975.0,False,False
Bitten Vivi Jensen,22,bittenvivi,692.0,66.0,False,False
Borgernes Frederiksberg,17,borgernesfrederiksberg,25.0,30.0,False,False
DKP - Kommunisterne,174,,,,True,True
Danmarksdemokraterne - Inger Støjberg,1333,partietdanmarksdemokraterne,10800.0,655.0,False,False
Dansk Folkeparti,7498,dansk_folkeparti_1995,26200.0,1566.0,False,False
Demokraterne - hele Danmark skal leve,127,demokraterne.nu,13.0,6.0,False,False
Det Konservative Folkeparti,24020,konservativedk,18600.0,1723.0,False,False
Din stemme i København,48,,,,True,True
Enhedslisten - De Rød-Grønne,41875,enhedslisten,45600.0,2558.0,False,False
Frie Grønne,1264,friegronne,8182.0,1297.0,False,False
Fælles Fremtid,43,faelles.fremtid,154.0,56.0,False,False
Ham Stokken,20,hamstokken,21.0,17.0,False,False
Hampepartiet,249,,,,True,True
Hvid-sten Frederiksbergs uafhængige Borgerliste,13,,,,True,True
KaosTV,50,,,,True,True
Kommunistisk Parti,408,kommunister,303.0,108.0,False,False
Kristendemokraterne,300,kd.kristendemokraterne,223.0,128.0,False,False
Liberal Alliance,11389,liberalalliance,48900.0,1953.0,False,False
Lokallisten - København,131,,,,True,True
Moderaterne,2485,moderaterne,8468.0,657.0,False,False
Nye Borgerlige,117,nyeborgerlige,8759.0,86.0,False,False
Radikale Venstre,17296,radikale,15600.0,2298.0,False,False
SF - Socialistisk Folkeparti,28001,sf_socialistisk_folkeparti,20800.0,1783.0,False,False
Skamløse Demokrater,293,,,,True,True
Socialdemokratiet,18630,socialdemokratiet,52100.0,2171.0,False,False
Solidarisk Integritet,28,solidariskintegritet/,,,True,True
"Venstre, Danmarks Liberale Parti",9516,venstredk,14600.0,2392.0,False,False
