navn,kommune
1. Øst,København
6. Syd,København
6. Vest,København
3. Syd,København
3. Indre By,København
3. Nord,København
3. Øst,København
9. Vesterbro,København
9. Vest,København
9. Øst,København
9. Nord,København
9. Midt,København
9. Sydhavn,København
9. Syd,København
7. Nord,København
8. Midt,København
6. Bispebjerg,København
8. Sydøst,København
5. Nørrebrohallen,København
5. Øst,København
1. Østerbro,København
1. Syd,København
1. Nord,København
1. Nordvest,København
1. Vest,København
2. Sundbyvester,København
2. Syd,København
2. Nord,København
4. Nord,København
4. Syd,København
4. Sundbyøster,København
5. Vest,København
5. Syd,København
5. Nord,København
5. Nørrebro,København
5. Nordvest,København
8. Nord,København
