Feature,Swing Mean,Non-Swing Mean,Difference,Abs Difference
demo_Housing tenure_People_Ejer,19.655667334173998,37.598868508308854,-17.943201174134856,17.943201174134856
demo_Housing tenure_People_Andel,41.364938677918225,25.444078159057913,15.920860518860312,15.920860518860312
demo_Housing type_People_Apartment buildings,91.35120465180913,75.87624503516109,15.474959616648036,15.474959616648036
demo_Housing type_People_Detached house,2.913426224297116,16.125853282771256,-13.212427058474141,13.212427058474141
demo_Car_Households with no car,67.32748299207192,55.589068685796306,11.738414306275615,11.738414306275615
demo_Age_18-39,47.439235144911166,36.31971159511874,11.119523549792426,11.119523549792426
demo_Car_Households with 2+ cars,17.976371513182173,25.677844289036482,-7.70147277585431,7.70147277585431
demo_Year built_People_Before 1960,73.30403783082909,79.31250363891897,-6.0084658080898805,6.0084658080898805
demo_Vocational_training,16.73919167745008,22.090893659196386,-5.351701981746306,5.351701981746306
demo_Age_65+,9.537487772436435,14.601410896000047,-5.063923123563612,5.063923123563612
demo_Education_Long_higher_education,26.485586790982957,22.27578106611954,4.209805724863418,4.209805724863418
demo_Housing type_People_Terraced house,2.4520910184987033,6.634482001428707,-4.182390982930004,4.182390982930004
elec_Voter turnout,59.29425166809898,63.36949504507611,-4.075243376977127,4.075243376977127
demo_Car_Households with 1 car,14.696145494745924,18.73308702516721,-4.036941530421288,4.036941530421288
demo_Age_40-64,26.009454027609618,29.876608516378756,-3.8671544887691383,3.8671544887691383
demo_Year built_People_2010-9999,7.381219586012264,3.9394299240547936,3.4417896619574706,3.4417896619574706
demo_Citizenship_Old EU countries,3.9027155121119614,2.571788662901169,1.3309268492107926,1.3309268492107926
demo_Sex_Male,49.49094449506742,48.53480790269644,0.9561365923709744,0.9561365923709744
demo_Citizenship_North America,0.6156836086729657,0.3916146028672949,0.2240690058056708,0.2240690058056708
demo_Citizenship_South and Central America,0.43230700491656987,0.33183894691371413,0.10046805800285574,0.10046805800285574
