"Id";"ValgId";"AdrKom";"ValgstedKode";"Kreds Nr";"Valgsted Id";"RefValgId";"RefValgstedKode";"RefValgstedId";"RefAdrKom";"RefKredsNr";"Personer";"TotalPersoner";"Divergens";"Multi";"Fejl";"DivergensGruppe";"DivergensGruppePersoner";"OrgGruppe";"GeoId"
"1";"285";"101";"30";"6";"9791";"285";"30";"9791";"101";"6";"11312";"11312";"0";"1";"0";"101030";"11312";"101030";"101030"
"2";"285";"740";"30";"78";"9659";"285";"30";"9659";"740";"78";"3015";"3015";"0";"1";"0";"740030";"3015";"740030";"740030"
"3";"285";"400";"9";"27";"9440";"285";"9";"9440";"400";"27";"2501";"2501";"0";"1";"0";"400009";"2501";"400009";"400009"
"4";"285";"270";"7";"23";"8588";"285";"7";"8588";"270";"23";"1431";"1431";"0";"1";"0";"270007";"1431";"270007";"270007"
"5";"285";"730";"37";"68";"9907";"285";"37";"9907";"730";"68";"835";"835";"0";"1";"0";"730037";"835";"730037";"730037"
"6";"285";"390";"3";"31";"9450";"285";"3";"9450";"390";"31";"2962";"2962";"0";"1";"0";"390003";"2962";"390003";"390003"
"7";"285";"727";"5";"70";"9079";"285";"5";"9079";"727";"70";"1773";"1773";"0";"1";"0";"727005";"1773";"727005";"727005"
"8";"285";"791";"14";"76";"9559";"285";"14";"9559";"791";"76";"2732";"2732";"0";"1";"0";"791014";"2732";"791014";"791014"
"9";"285";"540";"3";"49";"9600";"285";"3";"9600";"540";"49";"2592";"2592";"0";"1";"0";"540003";"2592";"540003";"540003"
"10";"285";"153";"3";"18";"9908";"285";"3";"9908";"153";"18";"3362";"3362";"0";"1";"0";"153003";"3362";"153003";"153003"
"11";"285";"550";"17";"51";"8896";"285";"17";"8896";"550";"51";"1755";"1755";"0";"1";"0";"550017";"1755";"550017";"550017"
"12";"285";"860";"12";"85";"9222";"285";"12";"9222";"860";"85";"1950";"1950";"0";"1";"0";"860012";"1950";"860012";"860012"
"13";"285";"390";"12";"31";"9458";"285";"12";"9458";"390";"31";"3567";"3567";"0";"1";"0";"390012";"3567";"390012";"390012"
"14";"285";"573";"14";"54";"8927";"285";"14";"8927";"573";"54";"796";"796";"0";"1";"0";"573014";"796";"573014";"573014"
"15";"285";"615";"5";"71";"9877";"285";"5";"9877";"615";"71";"4795";"4795";"0";"1";"0";"615005";"4795";"615005";"615005"
"16";"285";"751";"1";"62";"9565";"285";"1";"9565";"751";"62";"14629";"14629";"0";"1";"0";"751001";"14629";"751001";"751001"
"17";"285";"657";"25";"81";"9579";"285";"25";"9579";"657";"81";"1031";"1031";"0";"1";"0";"657025";"1031";"657025";"657025"
"18";"285";"860";"27";"85";"9234";"285";"27";"9234";"860";"85";"1106";"1106";"0";"1";"0";"860027";"1106";"860027";"860027"
"19";"285";"165";"2";"19";"8540";"285";"2";"8540";"165";"19";"3688";"3688";"0";"1";"0";"165002";"3688";"165002";"165002"
"20";"285";"773";"18";"87";"9286";"285";"18";"9286";"773";"87";"7871";"7871";"0";"1";"0";"773018";"7871";"773018";"773018"
"21";"285";"175";"6";"16";"10062";"285";"6";"10062";"175";"16";"5078";"5078";"0";"1";"0";"175006";"5078";"175006";"175006"
"22";"285";"615";"12";"71";"9093";"285";"12";"9093";"615";"71";"3108";"3108";"0";"1";"0";"615012";"3108";"615012";"615012"
"23";"285";"575";"12";"55";"9501";"285";"12";"9501";"575";"55";"408";"408";"0";"1";"0";"575012";"408";"575012";"575012"
"24";"285";"147";"5";"11";"9817";"285";"5";"9817";"147";"11";"11895";"11895";"0";"1";"0";"147005";"11895";"147005";"147005"
"25";"285";"851";"32";"90";"9345";"285";"32";"9345";"851";"90";"3448";"3448";"0";"1";"0";"851032";"3448";"851032";"851032"
"26";"285";"766";"23";"72";"9117";"285";"23";"9117";"766";"72";"676";"676";"0";"1";"0";"766023";"676";"766023";"766023"
"27";"285";"706";"2";"66";"8986";"285";"2";"8986";"706";"66";"3367";"3367";"0";"1";"0";"706002";"3367";"706002";"706002"
"28";"285";"223";"1";"22";"8572";"285";"1";"8572";"223";"22";"5123";"5123";"0";"1";"0";"223001";"5123";"223001";"223001"
"29";"285";"326";"3";"38";"9471";"285";"3";"9471";"326";"38";"3423";"3423";"0";"1";"0";"326003";"3423";"326003";"326003"
"30";"285";"370";"1";"32";"9967";"285";"1";"9967";"370";"32";"3807";"3807";"0";"1";"0";"370001";"3807";"370001";"370001"
"31";"285";"820";"14";"88";"9754";"285";"14";"9754";"820";"88";"707";"707";"0";"1";"0";"820014";"707";"820014";"820014"
"32";"285";"316";"15";"37";"9597";"285";"15";"9597";"316";"37";"813";"813";"0";"1";"0";"316015";"813";"316015";"316015"
"33";"285";"851";"24";"91";"9353";"285";"24";"9353";"851";"91";"5907";"5907";"0";"1";"0";"851024";"5907";"851024";"851024"
"34";"285";"791";"2";"75";"9547";"285";"2";"9547";"791";"75";"2667";"2667";"0";"1";"0";"791002";"2667";"791002";"791002"
"35";"285";"269";"5";"35";"8703";"285";"5";"8703";"269";"35";"7854";"7854";"0";"1";"0";"269005";"7854";"269005";"269005"
"36";"285";"766";"5";"72";"9101";"285";"5";"9101";"766";"72";"514";"514";"0";"1";"0";"766005";"514";"766005";"766005"
"37";"285";"730";"30";"67";"9054";"285";"30";"9054";"730";"67";"3248";"3248";"0";"1";"0";"730030";"3248";"730030";"730030"
"38";"285";"259";"12";"34";"8684";"285";"12";"8684";"259";"34";"4917";"4917";"0";"1";"0";"259012";"4917";"259012";"259012"
"39";"285";"810";"6";"86";"9241";"285";"6";"9241";"810";"86";"1564";"1564";"0";"1";"0";"810006";"1564";"810006";"810006"
"40";"285";"330";"20";"40";"8770";"285";"20";"8770";"330";"40";"4660";"4660";"0";"1";"0";"330020";"4660";"330020";"330020"
"41";"285";"665";"1";"73";"9120";"285";"1";"9120";"665";"73";"5816";"5816";"0";"1";"0";"665001";"5816";"665001";"665001"
"42";"285";"860";"20";"85";"9229";"285";"20";"9229";"860";"85";"967";"967";"0";"1";"0";"860020";"967";"860020";"860020"
"43";"285";"161";"4";"20";"8559";"285";"4";"8559";"161";"20";"3656";"3656";"0";"1";"0";"161004";"3656";"161004";"161004"
"44";"285";"661";"1";"82";"9538";"285";"1";"9538";"661";"82";"14940";"14940";"0";"1";"0";"661001";"14940";"661001";"661001"
"45";"285";"350";"12";"34";"8698";"285";"12";"8698";"350";"34";"2485";"2485";"0";"1";"0";"350012";"2485";"350012";"350012"
"46";"285";"661";"6";"82";"9169";"285";"6";"9169";"661";"82";"4541";"4541";"0";"1";"0";"661006";"4541";"661006";"661006"
"47";"285";"851";"52";"91";"9355";"285";"52";"9355";"851";"91";"1735";"1735";"0";"1";"0";"851052";"1735";"851052";"851052"
"48";"285";"265";"1";"36";"8704";"285";"1";"8704";"265";"36";"4718";"4718";"0";"1";"0";"265001";"4718";"265001";"265001"
"49";"285";"316";"2";"37";"9584";"285";"2";"9584";"316";"37";"8189";"8189";"0";"1";"0";"316002";"8189";"316002";"316002"
"50";"285";"482";"10";"47";"9490";"285";"10";"9490";"482";"47";"1047";"1047";"0";"1";"0";"482010";"1047";"482010";"482010"
"51";"285";"430";"7";"48";"9846";"285";"7";"9846";"430";"48";"6847";"6847";"0";"1";"0";"430007";"6847";"430007";"430007"
"52";"285";"230";"3";"26";"9743";"285";"3";"9743";"230";"26";"5249";"5249";"0";"1";"0";"230003";"5249";"230003";"230003"
