"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2021 - Stemmeberettigede";"KV2021 - Afgivne stemmer";"KV2021 - Blanke stemmer";"KV2021 - Andre ugyldige stemmer";"KV2021 - Gyldige stemmer";"KV2021 - A";"KV2021 - B";"KV2021 - C";"KV2021 - D";"KV2021 - F";"KV2021 - I";"KV2021 - J";"KV2021 - G";"KV2021 - K";"KV2021 - N";"KV2021 - H";"KV2021 - M";"KV2021 - S";"KV2021 - U";"KV2021 - O";"KV2021 - Z";"KV2021 - L";"KV2021 - R";"KV2021 - V";"KV2021 - P";"KV2021 - E";"KV2021 - Ø";"KV2021 - Å";"KV2021 - K1";"KV2021 - K2";"KV2021 - Q";"KV2021 - T";"KV2021 - W";"KV2021 - Y";"KV2021 - Æ";"KV2021 - Å1";"KV2021 - Stemmeberettigede";"KV2021 - Afgivne stemmer";"KV2021 - Blanke stemmer";"KV2021 - Andre ugyldige stemmer";"KV2021 - Gyldige stemmer";"KV2021 - A";"KV2021 - B";"KV2021 - C";"KV2021 - D";"KV2021 - F";"KV2021 - I";"KV2021 - J";"KV2021 - G";"KV2021 - K";"KV2021 - N";"KV2021 - H";"KV2021 - M";"KV2021 - S";"KV2021 - U";"KV2021 - O";"KV2021 - Z";"KV2021 - L";"KV2021 - R";"KV2021 - V";"KV2021 - P";"KV2021 - E";"KV2021 - Ø";"KV2021 - Å";"KV2021 - 0";"KV2021 - Q";"KV2021 - T";"KV2021 - W";"KV2021 - Y";"KV2021 - Æ"
"101001";"101001";"1";"1";"1";"12518";"8360";"110";"25";"8225";"1321";"1112";"1612";"145";"851";"280";"13";"42";"32";"7";"8";"18";"-";"68";"117";"11";"31";"16";"731";"2";"2";"1532";"217";"-";"-";"10";"24";"-";"12";"11";"-";"12518";"8360";"110";"25";"8225";"1321";"1112";"1612";"145";"851";"280";"13";"42";"32";"7";"8";"18";"-";"68";"117";"11";"31";"16";"731";"2";"2";"1532";"217";"0";"10";"24";"-";"12";"11"
"101002";"101002";"1";"1";"1";"6859";"4504";"50";"14";"4440";"702";"535";"966";"101";"398";"170";"15";"7";"17";"6";"3";"13";"-";"38";"87";"2";"16";"13";"515";"0";"4";"699";"102";"-";"-";"2";"20";"-";"6";"3";"-";"6859";"4504";"50";"14";"4440";"702";"535";"966";"101";"398";"170";"15";"7";"17";"6";"3";"13";"-";"38";"87";"2";"16";"13";"515";"0";"4";"699";"102";"0";"2";"20";"-";"6";"3"
"101003";"101003";"1";"1";"1";"12504";"9094";"99";"23";"8972";"1401";"1256";"1652";"146";"967";"255";"9";"37";"33";"2";"5";"24";"-";"115";"85";"4";"35";"23";"757";"1";"6";"1893";"215";"-";"-";"6";"28";"-";"9";"8";"-";"12504";"9094";"99";"23";"8972";"1401";"1256";"1652";"146";"967";"255";"9";"37";"33";"2";"5";"24";"-";"115";"85";"4";"35";"23";"757";"1";"6";"1893";"215";"0";"6";"28";"-";"9";"8"
"101005";"101005";"1";"1";"1";"12953";"7643";"117";"18";"7508";"1392";"888";"1136";"174";"813";"192";"19";"50";"50";"6";"8";"41";"-";"85";"148";"16";"30";"28";"588";"0";"6";"1599";"185";"-";"-";"7";"24";"-";"15";"8";"-";"12953";"7643";"117";"18";"7508";"1392";"888";"1136";"174";"813";"192";"19";"50";"50";"6";"8";"41";"-";"85";"148";"16";"30";"28";"588";"0";"6";"1599";"185";"0";"7";"24";"-";"15";"8"
"101006";"101006";"1";"1";"1";"11149";"7039";"92";"29";"6918";"1278";"903";"1141";"163";"734";"222";"9";"54";"23";"6";"5";"30";"-";"71";"132";"9";"25";"15";"581";"3";"5";"1282";"170";"-";"-";"5";"32";"-";"8";"10";"-";"11149";"7039";"92";"29";"6918";"1278";"903";"1141";"163";"734";"222";"9";"54";"23";"6";"5";"30";"-";"71";"132";"9";"25";"15";"581";"3";"5";"1282";"170";"2";"5";"32";"-";"8";"10"
"101007";"101007";"2";"1";"1";"11410";"6110";"103";"21";"5986";"1323";"547";"567";"184";"609";"133";"9";"31";"25";"11";"8";"25";"-";"40";"242";"6";"37";"23";"401";"2";"7";"1528";"160";"-";"-";"9";"34";"-";"18";"4";"-";"11410";"6110";"103";"21";"5986";"1323";"547";"567";"184";"609";"133";"9";"31";"25";"11";"8";"25";"-";"40";"242";"6";"37";"23";"401";"2";"7";"1528";"160";"3";"9";"34";"-";"18";"4"
"101008";"101008";"2";"1";"1";"15754";"8939";"130";"44";"8765";"1431";"1074";"947";"194";"927";"184";"14";"39";"42";"15";"6";"38";"-";"65";"195";"13";"60";"34";"588";"4";"14";"2514";"277";"-";"-";"10";"38";"-";"25";"11";"-";"15754";"8939";"130";"44";"8765";"1431";"1074";"947";"194";"927";"184";"14";"39";"42";"15";"6";"38";"-";"65";"195";"13";"60";"34";"588";"4";"14";"2514";"277";"6";"10";"38";"-";"25";"11"
"101009";"101009";"2";"1";"1";"17955";"7890";"112";"37";"7741";"1146";"986";"1069";"216";"761";"342";"9";"68";"31";"4";"11";"42";"-";"64";"113";"15";"44";"28";"1058";"3";"2";"1372";"225";"-";"-";"15";"31";"-";"10";"3";"-";"17955";"7890";"112";"37";"7741";"1146";"986";"1069";"216";"761";"342";"9";"68";"31";"4";"11";"42";"-";"64";"113";"15";"44";"28";"1058";"3";"2";"1372";"225";"73";"15";"31";"-";"10";"3"
"101010";"101010";"2";"1";"1";"12090";"8320";"73";"17";"8230";"1165";"958";"1368";"193";"784";"281";"9";"34";"19";"14";"9";"21";"-";"62";"106";"10";"86";"23";"983";"2";"4";"1790";"258";"-";"-";"7";"29";"-";"12";"3";"-";"12090";"8320";"73";"17";"8230";"1165";"958";"1368";"193";"784";"281";"9";"34";"19";"14";"9";"21";"-";"62";"106";"10";"86";"23";"983";"2";"4";"1790";"258";"0";"7";"29";"-";"12";"3"
"101011";"101011";"3";"1";"1";"17750";"9479";"114";"19";"9346";"1110";"1255";"1780";"185";"812";"386";"8";"63";"22";"8";"6";"35";"-";"88";"84";"10";"104";"28";"787";"3";"13";"2212";"276";"-";"-";"14";"27";"-";"14";"13";"-";"17750";"9479";"114";"19";"9346";"1110";"1255";"1780";"185";"812";"386";"8";"63";"22";"8";"6";"35";"-";"88";"84";"10";"104";"28";"787";"3";"13";"2212";"276";"3";"14";"27";"-";"14";"13"
