"Partinavn";"Kort partinavn";"Parti";"Nummer"
"Stemmeberettigede";"Berret";"BE";"-5"
"Afgivne stemmer";"Total";"TO";"-4"
"Blanke stemmer";"Blanke";"UB";"-3"
"Andre ugyldige stemmer";"Ugyldige";"UA";"-2"
"Gyldige stemmer";"Gyldige";"GY";"-1"
"A";"A";"A";"1"
"B";"B";"B";"2"
"C";"C";"C";"3"
"D";"D";"D";"4"
"F";"F";"F";"5"
"I";"I";"I";"6"
"J";"J";"J";"6"
"G";"G";"G";"7"
"K";"K";"K";"7"
"N";"N";"N";"7"
"H";"H";"H";"8"
"M";"M";"M";"8"
"S";"S";"S";"8"
"U";"U";"U";"8"
"O";"O";"O";"9"
"Z";"Z";"Z";"9"
"L";"L";"L";"10"
"R";"R";"R";"10"
"V";"V";"V";"11"
"P";"P";"P";"12"
"E";"E";"E";"13"
"Ø";"Ø";"Ø";"13"
"Å";"Å";"Å";"14"
"0";"0";"0";"100"
"Q";"Q";"Q";"100"
"T";"T";"T";"100"
"W";"W";"W";"100"
"Y";"Y";"Y";"100"
"Æ";"Æ";"Æ";"100"
